Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2017-01-01)
";"2017-01-01 - 2017-12-31";"Utgående balans
(2017-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"96 375";"0";"96 375"
"1116 Ack avskrivning Byggnader";"-7 043 453";"-1 220 575";"-8 264 028"
"1117 Ack. avsk. fast.förb";"-20 943";"-4 759";"-25 702"
"Summa Byggnader och mark";"99 764 242";"-1 225 333";"98 538 909"
"Summa materiella anläggningstillgångar";"99 764 242";"-1 225 333";"98 538 909"
"Summa Anläggningstillgångar";"99 764 242";"-1 225 333";"98 538 909"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"-689 427";"689 427";"0"
"1518 Extern kundreskontra";"0";"-681 088";"-681 088"
"Summa Kund- och avgiftsfordringar";"-689 427";"8 339";"-681 088"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"19 448";"19 039";"38 487"
"Summa Övriga kortfristiga fordringar";"19 448";"19 039";"38 487"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1730 Förutbet försäkr premier";"30 876";"938";"31 814"
"1790 Övr förutb kostn uppl int";"279 139";"31 606";"310 745"
"Summa Förutbetalda kostnader och upplupna intäkter";"310 015";"32 544";"342 559"
"Summa kortfristiga fordringar";"-359 964";"59 922";"-300 042"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"1 451";"6 187";"7 638"
"1930 Checkräkning";"1 997 532";"905 817";"2 903 349"
"1980 Valutakonto";"1 551";"-1 551";"0"
"Summa kassa och bank";"2 000 534";"910 453";"2 910 987"
"Summa Omsättningstillgångar";"1 640 571";"970 375";"2 610 945"
"Summa Tillgångar";"101 404 812";"-254 959";"101 149 854"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-5 091 747";"0";"-5 091 747"
"Summa Medlemsinsatser";"-50 674 034";"0";"-50 674 034"
"YTTRE FOND";"";"";""
"2084 Yttre fond";"-696 945";"-581 954";"-1 278 899"
"Summa Yttre fond";"-696 945";"-581 954";"-1 278 899"
"Summa bundet eget kapital";"-51 370 979";"-581 954";"-51 952 933"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 982 707";"463 825";"-4 518 883"
"Summa Balanserad vinst/förlust";"-4 982 707";"463 825";"-4 518 883"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-118 129";"-455 390";"-573 519"
"Summa Årets vinst/förlust";"-118 129";"-455 390";"-573 519"
"Summa fritt eget kapital";"-5 100 837";"8 435";"-5 092 402"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-41 765 690";"745 590";"-41 020 100"
"Summa Skulder till kreditinstitut";"-41 765 690";"745 590";"-41 020 100"
"Summa långfristiga skulder";"-41 765 690";"745 590";"-41 020 100"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"-2 500 000";"0";"-2 500 000"
"2440 Leverantörsskulder";"-277 071";"172 680";"-104 391"
"Summa Leverantörsskulder";"-2 777 071";"172 680";"-2 604 391"
"SKULDER TILL KREDITINSTITUT";"";"";""
"2417 Kort del av lång skuld";"-54 740";"-136 110";"-190 850"
"Summa Skulder till kreditinstitut";"-54 740";"-136 110";"-190 850"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-19 068";"227 491";"208 423"
"2513 Beräknad fastighetsskatt";"-76 667";"210 507";"133 840"
"2518 Betald preliminärskatt";"57 456";"-418 494";"-361 038"
"Summa Skatteskulder";"-38 279";"19 504";"-18 775"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-30 300";"1 000";"-29 300"
"2710 Personalens källskatt";"0";"-28 200";"-28 200"
"2730 Lagstadg soc avg lönesk";"-11 374";"-22 930";"-34 304"
"Summa Övriga kortfristiga skulder";"-41 674";"-50 130";"-91 804"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2990 Övriga uppl kostn";"-36 200";"-39 750";"-75 950"
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-74 200";"-39 750";"-113 950"
"Summa kortfristiga skulder";"-2 985 964";"-33 806";"-3 019 769"
"Summa Eget kapital och skulder";"-101 223 469";"138 265";"-101 085 204"
"Kapitalförändring";"181 343";"-116 693";"64 650"
