Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2013-01-01)
";"2013-01-01 - 2013-12-31";"Utgående balans
(2013-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"0";"96 375";"96 375"
"1116 Ack avskrivning Byggnader";"-3 642 119";"-329 176";"-3 971 295"
"1117 Ack. avsk. fast.förb";"0";"-6 425";"-6 425"
"Summa Byggnader och mark";"103 090 144";"-239 226";"102 850 918"
"MASKINER OCH INVENTARIER";"";"";""
"1220 Maskiner och inventarier";"191 874";"0";"191 874"
"1229 Ack.avsk.maskiner & inv";"-191 874";"0";"-191 874"
"Summa Maskiner och inventarier";"0";"0";"0"
"Summa materiella anläggningstillgångar";"103 090 144";"-239 226";"102 850 918"
"FINANSIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"LÅNGFRISTIGA VÄRDEPAPPERSINNEHAV";"";"";""
"1341 Insats Branschorganisation";"25 000";"-25 000";"0"
"Summa Långfristiga värdepappersinnehav";"25 000";"-25 000";"0"
"Summa finansiella anläggningstillgångar";"25 000";"-25 000";"0"
"Summa Anläggningstillgångar";"103 115 144";"-264 226";"102 850 918"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"-505 654";"203 010";"-302 644"
"Summa Kund- och avgiftsfordringar";"-505 654";"203 010";"-302 644"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"32 779";"-32 308";"471"
"Summa Övriga kortfristiga fordringar";"32 779";"-32 308";"471"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1730 Förutbet försäkr premier";"48 360";"2 418";"50 778"
"1790 Övr förutb kostn uppl int";"192 533";"-2 461";"190 072"
"Summa Förutbetalda kostnader och upplupna intäkter";"240 893";"-43";"240 850"
"Summa kortfristiga fordringar";"-231 982";"170 659";"-61 323"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"707";"7 208";"7 915"
"1930 Checkräkning";"2 117 419";"-1 304 249";"813 170"
"1980 Valutakonto";"-1 100";"1 100";"0"
"Summa kassa och bank";"2 117 026";"-1 295 941";"821 085"
"Summa Omsättningstillgångar";"1 885 044";"-1 125 282";"759 762"
"Summa Tillgångar";"105 000 188";"-1 389 508";"103 610 680"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-3 324 481";"-471 962";"-3 796 443"
"Summa Medlemsinsatser";"-48 906 768";"-471 962";"-49 378 730"
"Summa bundet eget kapital";"-48 906 768";"-471 962";"-49 378 730"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 232 657";"-269 948";"-4 502 605"
"Summa Balanserad vinst/förlust";"-4 232 657";"-269 948";"-4 502 605"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-741 910";"-243 747";"-985 657"
"Summa Årets vinst/förlust";"-741 910";"-243 747";"-985 657"
"Summa fritt eget kapital";"-4 974 567";"-513 695";"-5 488 261"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-49 441 112";"3 074 761";"-46 366 351"
"Summa Skulder till kreditinstitut";"-49 441 112";"3 074 761";"-46 366 351"
"ÖVRIGA LÅNGFRISTIGA SKULDER";"";"";""
"2397 Mottagna depositioner";"-32 378";"0";"-32 378"
"Summa Övriga långfristiga skulder";"-32 378";"0";"-32 378"
"Summa långfristiga skulder";"-49 473 490";"3 074 761";"-46 398 729"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"0";"-1 500 000";"-1 500 000"
"2440 Leverantörsskulder";"-1 255 401";"985 276";"-270 125"
"Summa Leverantörsskulder";"-1 255 401";"-514 724";"-1 770 125"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-109 260";"-295 888";"-405 148"
"2513 Beräknad fastighetsskatt";"-54 630";"-19 323";"-73 953"
"2518 Betald preliminärskatt";"232 776";"127 526";"360 302"
"Summa Skatteskulder";"68 886";"-187 685";"-118 799"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-19 650";"-400";"-20 050"
"Summa Övriga kortfristiga skulder";"-19 650";"-400";"-20 050"
"Summa kortfristiga skulder";"-1 206 165";"-702 809";"-1 908 974"
"Summa Eget kapital och skulder";"-104 560 990";"1 386 295";"-103 174 694"
"Kapitalförändring";"439 198";"-3 212";"435 986"
