Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2019-01-01)
";"2019-01-01 - 2019-12-31";"Utgående balans
(2019-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"147 875";"102 375";"250 250"
"1116 Ack avskrivning Byggnader";"-9 484 709";"-1 220 519";"-10 705 228"
"1117 Ack. avsk. fast.förb";"-31 379";"-10 386";"-41 766"
"1182 Pågående projekt";"227 500";"-227 500";"0"
"Summa Byggnader och mark";"97 591 550";"-1 356 031";"96 235 520"
"Summa materiella anläggningstillgångar";"97 591 550";"-1 356 031";"96 235 520"
"Summa Anläggningstillgångar";"97 591 550";"-1 356 031";"96 235 520"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"0";"46 431";"46 431"
"1518 Extern kundreskontra";"-972 283";"972 283";"0"
"1520 Andra kundfordringar";"0";"-6 690";"-6 690"
"1530 Kundfordringar rester";"0";"-13 572";"-13 572"
"Summa Kund- och avgiftsfordringar";"-972 283";"998 452";"26 169"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"38 254";"-2 501";"35 753"
"1680 Övriga kortfristiga fordringar";"27 434";"-27 434";"0"
"Summa Övriga kortfristiga fordringar";"65 688";"-29 935";"35 753"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1700 Förutb kostn,upplupn int";"0";"12 859";"12 859"
"1706 Förbet kabel-tv";"0";"16 436";"16 436"
"1708 Förbet räntor";"0";"3 758";"3 758"
