Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2022-01-01)
";"2022-01-01 - 2022-12-31";"Utgående balans
(2022-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"428 438";"4 002 701";"4 431 138"
"1116 Ack avskrivning Byggnader";"-14 701 659";"-2 310 804";"-17 012 463"
"1117 Ack. avsk. fast.förb";"-77 046";"-45 249";"-122 295"
"1182 Pågående projekt";"7 739 284";"-3 819 915";"3 919 369"
"Summa Byggnader och mark";"100 121 280";"-2 173 268";"97 948 013"
"Summa materiella anläggningstillgångar";"100 121 280";"-2 173 268";"97 948 013"
"Summa Anläggningstillgångar";"100 121 280";"-2 173 268";"97 948 013"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"37 549";"-14 875";"22 674"
"Summa Kund- och avgiftsfordringar";"37 549";"-14 875";"22 674"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"161 073";"-138 064";"23 009"
"1640 Skattefordringar";"4 060";"-4 060";"0"
"1688 Övriga kortfristiga fordr";"0";"250 000";"250 000"
"Summa Övriga kortfristiga fordringar";"165 133";"107 876";"273 009"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1700 Förutb kostn,upplupn int";"14 043";"-5 350";"8 693"
"1701 Förbet fastskötsel";"5 375";"-5 375";"0"
"1705 Förbet försäkringar";"35 803";"3 581";"39 384"
"1706 Förbet kabel-tv";"17 142";"1 749";"18 891"
