Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2021-01-01)
";"2021-01-01 - 2021-12-31";"Utgående balans
(2021-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"250 250";"178 188";"428 438"
"1116 Ack avskrivning Byggnader";"-9 165 400";"-5 536 259";"-14 701 659"
"1117 Ack. avsk. fast.förb";"-59 406";"-17 640";"-77 046"
"1182 Pågående projekt";"107 050";"7 632 234";"7 739 284"
"Summa Byggnader och mark";"97 864 758";"2 256 523";"100 121 280"
"Summa materiella anläggningstillgångar";"97 864 758";"2 256 523";"100 121 280"
"Summa Anläggningstillgångar";"97 864 758";"2 256 523";"100 121 280"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"9 636";"27 913";"37 549"
"1520 Andra kundfordringar";"-6 690";"6 690";"0"
"Summa Kund- och avgiftsfordringar";"2 946";"34 603";"37 549"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"5 473";"155 600";"161 073"
"1640 Skattefordringar";"0";"4 060";"4 060"
"Summa Övriga kortfristiga fordringar";"5 473";"159 660";"165 133"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1700 Förutb kostn,upplupn int";"13 167";"876";"14 043"
"1701 Förbet fastskötsel";"0";"5 375";"5 375"
"1705 Förbet försäkringar";"41 823";"-6 020";"35 803"
"1706 Förbet kabel-tv";"16 653";"489";"17 142"
"1711 Förbet tomträtt";"219 575";"0";"219 575"
