Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2018-01-01)
";"2018-01-01 - 2018-12-31";"Utgående balans
(2018-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"96 375";"51 500";"147 875"
"1116 Ack avskrivning Byggnader";"-8 264 028";"-1 220 681";"-9 484 709"
"1117 Ack. avsk. fast.förb";"-25 702";"-5 677";"-31 379"
"1182 Pågående projekt";"0";"227 500";"227 500"
"Summa Byggnader och mark";"98 538 909";"-947 358";"97 591 550"
"Summa materiella anläggningstillgångar";"98 538 909";"-947 358";"97 591 550"
"Summa Anläggningstillgångar";"98 538 909";"-947 358";"97 591 550"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1518 Extern kundreskontra";"-681 088";"-291 195";"-972 283"
"Summa Kund- och avgiftsfordringar";"-681 088";"-291 195";"-972 283"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"38 487";"-233";"38 254"
"1680 Övriga kortfristiga fordringar";"0";"27 434";"27 434"
"Summa Övriga kortfristiga fordringar";"38 487";"27 201";"65 688"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1730 Förutbet försäkr premier";"31 814";"3 546";"35 361"
"1790 Övr förutb kostn uppl int";"310 745";"9 062";"319 807"
"Summa Förutbetalda kostnader och upplupna intäkter";"342 559";"12 608";"355 168"
"Summa kortfristiga fordringar";"-300 042";"-251 386";"-551 427"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"7 638";"-7 355";"283"
"1930 Checkräkning";"2 903 349";"1 497 456";"4 400 805"
"Summa kassa och bank";"2 910 987";"1 490 101";"4 401 088"
"Summa Omsättningstillgångar";"2 610 945";"1 238 715";"3 849 661"
"Summa Tillgångar";"101 149 854";"291 357";"101 441 211"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-5 091 747";"5 091 747";"0"
"Summa Medlemsinsatser";"-50 674 034";"5 091 747";"-45 582 287"
"YTTRE FOND";"";"";""
"2084 Yttre fond";"-1 278 899";"-5 490 742";"-6 769 641"
"Summa Yttre fond";"-1 278 899";"-5 490 742";"-6 769 641"
"Summa bundet eget kapital";"-51 952 933";"-398 995";"-52 351 928"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 518 883";"-174 524";"-4 693 407"
"Summa Balanserad vinst/förlust";"-4 518 883";"-174 524";"-4 693 407"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-573 519";"262 334";"-311 185"
"Summa Årets vinst/förlust";"-573 519";"262 334";"-311 185"
"Summa fritt eget kapital";"-5 092 402";"87 810";"-5 004 592"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-41 020 100";"-1 810 630";"-42 830 730"
"2352 Kort del av lång skuld";"0";"300";"300"
"Summa Skulder till kreditinstitut";"-41 020 100";"-1 810 330";"-42 830 430"
"Summa långfristiga skulder";"-41 020 100";"-1 810 330";"-42 830 430"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"-2 500 000";"2 500 000";"0"
"2440 Leverantörsskulder";"-104 391";"-717 073";"-821 464"
"Summa Leverantörsskulder";"-2 604 391";"1 782 927";"-821 464"
"SKULDER TILL KREDITINSTITUT";"";"";""
"2417 Kort del av lång skuld";"-190 850";"38 060";"-152 790"
"Summa Skulder till kreditinstitut";"-190 850";"38 060";"-152 790"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"208 423";"-240 943";"-32 520"
"2513 Beräknad fastighetsskatt";"133 840";"460 531";"594 371"
"2518 Betald preliminärskatt";"-361 038";"-206 140";"-567 178"
"Summa Skatteskulder";"-18 775";"13 448";"-5 327"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-29 300";"8 000";"-21 300"
"2710 Personalens källskatt";"-28 200";"17 340";"-10 860"
"2730 Lagstadg soc avg lönesk";"-34 304";"23 304";"-11 000"
"2890 Övriga korta skulder";"0";"-700";"-700"
"Summa Övriga kortfristiga skulder";"-91 804";"47 944";"-43 860"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2990 Övriga uppl kostn";"-75 950";"39 750";"-36 200"
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-113 950";"39 750";"-74 200"
"Summa kortfristiga skulder";"-3 019 769";"1 922 129";"-1 097 641"
"Summa Eget kapital och skulder";"-101 085 204";"-199 387";"-101 284 591"
"Kapitalförändring";"64 650";"91 970";"156 620"
