Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2016-01-01)
";"2016-01-01 - 2016-12-31";"Utgående balans
(2016-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"96 375";"0";"96 375"
"1116 Ack avskrivning Byggnader";"-5 822 772";"-1 220 681";"-7 043 453"
"1117 Ack. avsk. fast.förb";"-16 124";"-4 819";"-20 943"
"Summa Byggnader och mark";"100 989 742";"-1 225 500";"99 764 242"
"Summa materiella anläggningstillgångar";"100 989 742";"-1 225 500";"99 764 242"
"Summa Anläggningstillgångar";"100 989 742";"-1 225 500";"99 764 242"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"-676 823";"-12 604";"-689 427"
"Summa Kund- och avgiftsfordringar";"-676 823";"-12 604";"-689 427"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"19 196";"252";"19 448"
"Summa Övriga kortfristiga fordringar";"19 196";"252";"19 448"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1730 Förutbet försäkr premier";"30 623";"253";"30 876"
"1790 Övr förutb kostn uppl int";"241 886";"37 253";"279 139"
"Summa Förutbetalda kostnader och upplupna intäkter";"272 509";"37 506";"310 015"
"Summa kortfristiga fordringar";"-385 118";"25 154";"-359 964"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"361";"1 090";"1 451"
"1930 Checkräkning";"1 677 448";"320 084";"1 997 532"
"1980 Valutakonto";"0";"1 551";"1 551"
"Summa kassa och bank";"1 677 809";"322 725";"2 000 534"
"Summa Omsättningstillgångar";"1 292 691";"347 879";"1 640 571"
"Summa Tillgångar";"102 282 433";"-877 621";"101 404 812"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-5 091 747";"0";"-5 091 747"
"Summa Medlemsinsatser";"-50 674 034";"0";"-50 674 034"
"YTTRE FOND";"";"";""
"2084 Yttre fond";"0";"-696 945";"-696 945"
"Summa Yttre fond";"0";"-696 945";"-696 945"
"Summa bundet eget kapital";"-50 674 034";"-696 945";"-51 370 979"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-5 186 083";"203 376";"-4 982 707"
"Summa Balanserad vinst/förlust";"-5 186 083";"203 376";"-4 982 707"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-493 569";"375 440";"-118 129"
"Summa Årets vinst/förlust";"-493 569";"375 440";"-118 129"
"Summa fritt eget kapital";"-5 679 652";"578 816";"-5 100 837"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-42 847 800";"1 082 110";"-41 765 690"
"Summa Skulder till kreditinstitut";"-42 847 800";"1 082 110";"-41 765 690"
"Summa långfristiga skulder";"-42 847 800";"1 082 110";"-41 765 690"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"-2 500 000";"0";"-2 500 000"
"2440 Leverantörsskulder";"-610 763";"333 692";"-277 071"
"Summa Leverantörsskulder";"-3 110 763";"333 692";"-2 777 071"
"SKULDER TILL KREDITINSTITUT";"";"";""
"2417 Kort del av lång skuld";"0";"-54 740";"-54 740"
"Summa Skulder till kreditinstitut";"0";"-54 740";"-54 740"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-3";"-19 065";"-19 068"
"2513 Beräknad fastighetsskatt";"-70 953";"-5 714";"-76 667"
"2518 Betald preliminärskatt";"220 716";"-163 260";"57 456"
"Summa Skatteskulder";"149 760";"-188 039";"-38 279"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-30 000";"-300";"-30 300"
"2730 Lagstadg soc avg lönesk";"0";"-11 374";"-11 374"
"Summa Övriga kortfristiga skulder";"-30 000";"-11 674";"-41 674"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2990 Övriga uppl kostn";"0";"-36 200";"-36 200"
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-38 000";"-36 200";"-74 200"
"Summa kortfristiga skulder";"-3 029 003";"43 039";"-2 985 964"
"Summa Eget kapital och skulder";"-102 230 489";"1 007 020";"-101 223 469"
"Kapitalförändring";"51 944";"129 399";"181 343"
