Realtidsresultatrapport ;;
Kundnamn: Brf Strandparken Kungsholmen;;
Organisationsnummer: 716420-4682;;
;;
;2021-01-01 - 2021-12-31;2020-01-01 - 2020-12-31
RÖRELSEINTÄKTER;;
NETTOOMSÄTTNING;;
RÖRELSENS HUVUDINTÄKTER;;
3021 Årsavgifter bostäder;3 775 416;3 775 416
3052 Hyresintäkter lokaler;1 673 240;1 668 640
3054 Hyresintäkter garage;565 800;563 800
3055 Hyresintäkter garage, moms;362 800;365 200
3057 Hyresintäkter p-plats, moms;10 000;8 000
3058 Hyresintäkter förråd;9 223;0
Summa Rörelsens huvudintäkter;6 396 479;6 381 056
DEBITERADE FÖRBRUKNINGSKOSTNADER;;
3121 El;26 739;0
Summa Debiterade förbrukningskostnader;26 739;0
ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER;;
3218 Övriga intäkter;0;8 550
Summa Ersättningar och intäkter från hyresgäster;0;8 550
Summa nettoomsättning;6 423 218;6 389 606
ÖVRIGA RÖRELSEINTÄKTER;;
3740 Öres- och kronutjämning;1;0
3990 Övriga intäkter;1 301;19
3999 Övriga rörelseintäkter;6 690;0
Summa övriga rörelseintäkter;7 992;19
Summa Rörelseintäkter;6 431 210;6 389 625
RÖRELSEKOSTNADER;;
DRIFTKOSTNADER;;
FASTIGHETSSKÖTSEL OCH STÄD;;
4000 Fastskötsel,städ material;0;-100
4110 Fastskötsel/teknisk förv arvode;-117 813;0
4112 Larm och bevakning;-1 500;-1 500
4119 Fastskötsel/teknisk förv extra;-131 220;-65 157
4120 Entrepkostn städ;-141 368;-119 808
4121 Städning beställning;-10 750;-91 625
4140 Besiktningskostnader;-17 179;-30 134
4155 Övriga serviceavtal;-24 147;-23 970
4160 Trädgård och blommor;-9 706;-1 150
4170 Snöskottning och sandupptagning;-8 038;-1 944
4185 Mattservice;-8 650;-9 178
4190 Övriga köpta tjänster;-101 313;0
Summa Fastighetsskötsel och städ;-571 684;-344 566
REPARATIONER;;
4300 Övriga rep./underhåll;-151 216;-234 945
4310 Underhåll;0;-825
4331 Tvättstuga;-17 341;-18 648
4332 Trapphus/port/entré;0;-42 500
4346 Hissar;-68 797;-123 131
4399 Temp. rep und eller projekt;12 500;-12 500
Summa Reparationer;-224 854;-432 549
PLANERAT UNDERHÅLL;;
4301 Planerade underhåll;269 657;-950 662
4500 Övrigt plan. UH;-28 251;0
Summa Planerat underhåll;241 406;-950 662
TAXEBUNDNA KOSTNADER;;
4611 Fastighetsel;-392 849;-247 792
4623 Fjärrvärme;-607 131;-541 391
4630 Vatten;-117 449;-109 728
4640 Sophämtning;-65 080;-54 588
4641 Grovsopor, tidningar;-59 897;-54 544
Summa Taxebundna kostnader;-1 242 406;-1 008 043
ÖVRIGA DRIFTSKOSTNADER;;
4710 Fastighetsförsäkringar;-127 109;-162 157
4741 Tomträttsavgäld;-878 300;-878 300
4760 Kabel-TV;-66 616;-65 747
4761 Bredband;-100 920;-103 820
4780 Arvode teknisk förvaltning;0;-1 875
Summa Övriga driftskostnader;-1 172 945;-1 211 899
FASTIGHETSSKATT;;
4800 Fastighetsskatt;-399 002;-402 595
4805 Beräknad fastighetsskatt;-554;-134 195
4806 Korr. fastighetsskatt;-21 042;17 121
Summa Fastighetsskatt;-420 598;-519 669
Summa driftkostnader;-3 391 081;-4 467 388
ÖVRIGA EXTERNA KOSTNADER;;
FÖRBRUKNINGSINVENTARIER OCH FÖRBRUKNINGSMATERIAL;;
5410 Förbrukningsinventarier;-2 700;-838
5460 Förbrukningsmaterial;-2 699;0
Summa Förbrukningsinventarier och förbrukningsmaterial;-5 399;-838
KONTORSMATERIEL;;
6100 Kontorsmtrl trycksaker;-1 343;0
Summa Kontorsmateriel;-1 343;0
TELE OCH POST;;
6210 Telekommunikation;-10 835;-8 622
6230 Datakommunikation;-15 129;-16 616
6250 Postbefordran;-216;-144
Summa Tele och post;-26 180;-25 382
FÖRSÄKRINGAR OCH ÖVRIGA RISK KOSTNADER;;
6320 Avg juridiska åtgärder;-13 125;0
6321 Inkasso;-81;0
Summa Försäkringar och övriga risk kostnader;-13 206;0
FÖRVALTNINGSKOSTNADER;;
6420 Revisionsarvoden;-31 875;-35 938
6470 Styr.möte/stämma/städdag;0;-8 433
6471 Trivselåtgärder;0;-600
6480 Arvode ekonomisk förvaltning;-99 380;-99 104
6482 Extradebitering förvaltn.;-27 757;-5 897
6485 Förvaltningsarvoden;0;-103 572
6490 Övr förvaltningskostnader;-700;-3 850
Summa Förvaltningskostnader;-159 712;-257 393
ÖVRIGA EXTERNA TJÄNSTER;;
6560 Serv.avg branschorg.;-6 150;-6 020
6570 Bankkostnader;-5 659;-3 574
Summa Övriga externa tjänster;-11 809;-9 594
ÖVRIGA EXTERNA KOSTNADER;;
6990 Övriga externa kostnader;-138;-2 197
Summa Övriga externa kostnader;-138;-2 197
Summa övriga externa kostnader;-217 786;-295 404
PERSONALKOSTNADER;;
ARVODEN;;
6410 Styrelsearvoden;-146 600;0
Summa Arvoden;-146 600;0
SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL;;
7510 Lagstadgade arb giv avg;-42 708;0
Summa Sociala och andra avgifter enligt lag och avtal;-42 708;0
Summa personalkostnader;-189 308;0
Resultat före Avskrivningar;2 633 035;1 626 833
AVSKRIVNINGAR;;
7821 Avskrivn byggnader;-5 536 259;1 539 828
7822 Avskrivning fast. förbätr;-17 640;-17 640
Summa avskrivningar;-5 553 899;1 522 188
Summa Rörelsekostnader;-9 352 074;-3 240 604
Rörelseresultat;-2 920 864;3 149 021
FINANSIELLA POSTER;;
RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER;;
8410 Låneräntor;-478 423;-543 022
8422 Dröjsmålsränta;-8 763;0
Summa räntekostnader och liknande resultatposter;-487 186;-543 022
Resultat efter finansiella poster;-3 408 050;2 605 999
Årets resultat;-3 408 050;2 605 999
