Realtidsresultatrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"2017-01-01 - 2017-12-31";"2016-01-01 - 2016-12-31"
"RÖRELSEINTÄKTER";"";""
"NETTOOMSÄTTNING";"";""
"RÖRELSENS HUVUDINTÄKTER";"";""
"3021 Årsavgifter bostäder";"3 775 416";"3 775 416"
"3052 Hyresintäkter lokaler";"1 215 868";"1 208 928"
"3053 Hyresintäkter lokaler, moms";"0";"1 200"
"3054 Hyresintäkter garage";"463 200";"460 800"
"3055 Hyresintäkter garage, moms";"480 800";"484 800"
"3062 Hyresintäkter övr objekt";"0";"9 850"
"Summa Rörelsens huvudintäkter";"5 935 284";"5 940 994"
"ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER";"";""
"3218 Övriga intäkter";"7 902";"0"
"Summa Ersättningar och intäkter från hyresgäster";"7 902";"0"
"Summa nettoomsättning";"5 943 186";"5 940 994"
"ÖVRIGA RÖRELSEINTÄKTER";"";""
"3740 Öres- och kronutjämning";"0";"-1"
"3994 Ersättn.fr.försäkr.bolag";"61 526";"0"
"Summa övriga rörelseintäkter";"61 526";"-1"
"Summa Rörelseintäkter";"6 004 712";"5 940 993"
"RÖRELSEKOSTNADER";"";""
"DRIFTKOSTNADER";"";""
"FASTIGHETSSKÖTSEL OCH STÄD";"";""
"4000 Fastskötsel,städ material";"-19 749";"-33 766"
"4120 Entrepkostn städ";"-129 255";"-123 886"
"4160 Trädgård och blommor";"-19 707";"0"
"4170 Snöskottning och sandupptagning";"-22 405";"-27 870"
"4185 Mattservice";"0";"-1 157"
"Summa Fastighetsskötsel och städ";"-191 116";"-186 679"
"REPARATIONER";"";""
"4300 Övriga rep./underhåll";"-994";"0"
"4310 Underhåll";"0";"-111 065"
"4311 Bostäder";"-2 981";"-20 111"
"4321 Lokaler";"-20 263";"-14 718"
"4331 Tvättstuga";"-9 447";"-13 656"
"4332 Trapphus/port/entré";"-33 098";"-28 090"
"4339 Övriga gemensamma utrymmen";"-6 431";"-24 292"
"4341 VA";"-3 900";"-8 383"
"4342 Värme";"-30 210";"0"
"4343 Ventilation";"-56 201";"-33 901"
"4344 El";"-1 988";"0"
"4345 Kabel-tv/bredband";"-60 006";"-9 672"
"4346 Hissar";"-45 979";"-188 442"
"4351 Tak";"0";"-1 988"
