Realtidsresultatrapport ;;
Kundnamn: Brf Strandparken Kungsholmen;;
Organisationsnummer: 716420-4682;;
;;
;2019-01-01 - 2019-12-31;2018-01-01 - 2018-12-31
RÖRELSEINTÄKTER;;
NETTOOMSÄTTNING;;
RÖRELSENS HUVUDINTÄKTER;;
3021 Årsavgifter bostäder;3 769 726;3 775 416
3050 Övriga avgifter;4 841;0
3052 Hyresintäkter lokaler;1 751 596;1 239 232
3054 Hyresintäkter garage;557 200;569 200
3055 Hyresintäkter garage, moms;357 200;358 800
3062 Hyresintäkter övr objekt;0;8 550
Summa Rörelsens huvudintäkter;6 440 563;5 951 198
ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER;;
3218 Övriga intäkter;-30 000;60 000
3250 Övrig intäkt;-46 462;57 075
Summa Ersättningar och intäkter från hyresgäster;-76 462;117 075
FAKTURERADE KOSTNADER;;
3522 Överlåtelseavgift;1 163;0
Summa Fakturerade kostnader;1 163;0
Summa nettoomsättning;6 365 264;6 068 273
ÖVRIGA RÖRELSEINTÄKTER;;
3740 Öres- och kronutjämning;-43;-20
Summa övriga rörelseintäkter;-43;-20
Summa Rörelseintäkter;6 365 221;6 068 253
RÖRELSEKOSTNADER;;
DRIFTKOSTNADER;;
FASTIGHETSSKÖTSEL OCH STÄD;;
4000 Fastskötsel,städ material;-170;-6 000
4110 Fastskötsel/teknisk förv arvode;0;-10 530
4119 Fastskötsel/teknisk förv extra;-47 511;0
4120 Entrepkostn städ;-145 919;-130 915
4140 Besiktningskostnader;-262 265;-3 259
4141 Ventilationskontroll OVK;-1 019;-1 988
4150 Hiss serviceavtal;-9 979;0
4155 Övriga serviceavtal;-11 738;0
4160 Trädgård och blommor;-655;0
4170 Snöskottning och sandupptagning;-47 638;-14 365
4180 Klottersanering;0;-690
4185 Mattservice;-2 935;0
4190 Övriga köpta tjänster;-12 409;-21 703
Summa Fastighetsskötsel och städ;-542 238;-189 450
REPARATIONER;;
4300 Övriga rep./underhåll;-171 769;0
4311 Bostäder;0;-1 275
4321 Lokaler;0;-14 451
4331 Tvättstuga;-1 075;-6 095
4332 Trapphus/port/entré;-31 441;-2 975
4339 Övriga gemensamma utrymmen;0;-4 730
4341 VA;-79 245;-2 923
4343 Ventilation;0;-13 382
4344 El;-11 236;0
4346 Hissar;-91 998;-186 885
4352 Fasader;0;-27 268
4354 Balkonger;0;-2 981
4370 Garage och p-platser;0;-13 375
Summa Reparationer;-386 764;-276 340
PLANERAT UNDERHÅLL;;
4301 Planerade underhåll;-268 999;-369 176
Summa Planerat underhåll;-268 999;-369 176
TAXEBUNDNA KOSTNADER;;
4611 Fastighetsel;-331 755;-259 703
4623 Fjärrvärme;-583 597;-548 040
4630 Vatten;-104 524;-102 639
4640 Sophämtning;-49 273;-51 832
4641 Grovsopor, tidningar;-52 412;-47 194
4690 Övrigt;-5 256;-10 512
Summa Taxebundna kostnader;-1 126 817;-1 019 920
ÖVRIGA DRIFTSKOSTNADER;;
4710 Fastighetsförsäkringar;-147 803;-102 536
4741 Tomträttsavgäld;-805 108;-878 300
4760 Kabel-TV;-106 036;-151 091
4761 Bredband;-40 654;0
Summa Övriga driftskostnader;-1 099 601;-1 131 927
FASTIGHETSSKATT;;
4800 Fastighetsskatt;-326 221;-232 969
4806 Korr. fastighetsskatt;-3 711;0
Summa Fastighetsskatt;-329 932;-232 969
Summa driftkostnader;-3 754 351;-3 219 782
ÖVRIGA EXTERNA KOSTNADER;;
FÖRBRUKNINGSINVENTARIER OCH FÖRBRUKNINGSMATERIAL;;
5410 Förbrukningsinventarier;-48 643;0
Summa Förbrukningsinventarier och förbrukningsmaterial;-48 643;0
TELE OCH POST;;
6210 Telekommunikation;-4 653;-4 665
6230 Datakommunikation;-11 092;0
6250 Postbefordran;-2 511;0
Summa Tele och post;-18 256;-4 665
FÖRVALTNINGSKOSTNADER;;
6420 Revisionsarvoden;-1 500;-35 688
6480 Arvode ekonomisk förvaltning;-182 844;-301 568
6481 Tidigare förvaltning;-16 622;0
6482 Extradebitering förvaltn.;-29 332;-6 966
6490 Övr förvaltningskostnader;-9 699;-27 846
Summa Förvaltningskostnader;-239 997;-372 068
ÖVRIGA EXTERNA TJÄNSTER;;
6540 It-tjänster;0;-750
6550 Konsultkostnader;0;-1 988
6570 Bankkostnader;-3 801;-3 751
6580 Advokat/rätteg kostn;0;-181 046
Summa Övriga externa tjänster;-3 801;-187 535
ÖVRIGA EXTERNA KOSTNADER;;
6980 Medlems- & föreningsavg;-3 940;-5 800
6990 Övriga externa kostnader;-500;-1 695
Summa Övriga externa kostnader;-4 440;-7 495
Summa övriga externa kostnader;-315 137;-571 763
PERSONALKOSTNADER;;
ARVODEN;;
6410 Styrelsearvoden;-201 300;-88 000
6411 Övriga arvoden;0;-3 000
Summa Arvoden;-201 300;-91 000
LÖNER TILL KOLLEKTIVANSTÄLLDA;;
7000 Löner kollektivanställda;-50;0
Summa Löner till kollektivanställda;-50;0
SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL;;
7510 Lagstadgade arb giv avg;-57 334;-26 336
Summa Sociala och andra avgifter enligt lag och avtal;-57 334;-26 336
Summa personalkostnader;-258 684;-117 336
Resultat före Avskrivningar;2 037 049;2 159 372
AVSKRIVNINGAR;;
7821 Avskrivn byggnader;-1 220 519;-1 220 681
7822 Avskrivning fast. förbätr;-21 761;-5 677
Summa avskrivningar;-1 242 281;-1 226 358
Summa Rörelsekostnader;-5 570 453;-5 135 239
Rörelseresultat;794 768;933 014
FINANSIELLA POSTER;;
RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER;;
8410 Låneräntor;-505 231;-529 858
Summa räntekostnader och liknande resultatposter;-505 231;-529 858
Resultat efter finansiella poster;289 537;403 156
Årets resultat;289 537;403 156
