Realtidsresultatrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"2022-01-01 - 2022-12-31";"2021-01-01 - 2021-12-31"
"RÖRELSEINTÄKTER";"";""
"NETTOOMSÄTTNING";"";""
"RÖRELSENS HUVUDINTÄKTER";"";""
"3021 Årsavgifter bostäder";"3 775 416";"3 775 416"
"3052 Hyresintäkter lokaler";"1 720 096";"1 673 240"
"3054 Hyresintäkter garage";"547 900";"565 800"
"3055 Hyresintäkter garage, moms";"432 369";"362 800"
"3057 Hyresintäkter p-plats, moms";"0";"10 000"
"3058 Hyresintäkter förråd";"300";"9 223"
"Summa Rörelsens huvudintäkter";"6 476 081";"6 396 479"
"DEBITERADE FÖRBRUKNINGSKOSTNADER";"";""
"3121 El";"10 477";"26 739"
"3122 El, moms";"26 281";"0"
"Summa Debiterade förbrukningskostnader";"36 758";"26 739"
"Summa nettoomsättning";"6 512 839";"6 423 218"
"ÖVRIGA RÖRELSEINTÄKTER";"";""
"3740 Öres- och kronutjämning";"0";"1"
"3990 Övriga intäkter";"0";"1 301"
"3994 Ersättn.fr.försäkr.bolag";"1 149 822";"0"
"3999 Övriga rörelseintäkter";"0";"6 690"
"Summa övriga rörelseintäkter";"1 149 822";"7 992"
"Summa Rörelseintäkter";"7 662 661";"6 431 210"
"RÖRELSEKOSTNADER";"";""
"DRIFTKOSTNADER";"";""
"FASTIGHETSSKÖTSEL OCH STÄD";"";""
"4000 Fastskötsel,städ material";"-3 354";"0"
"4110 Fastskötsel/teknisk förv arvode";"-125 375";"-117 813"
"4112 Larm och bevakning";"-1 650";"-1 500"
"4119 Fastskötsel/teknisk förv extra";"-145 247";"-131 220"
"4120 Entrepkostn städ";"-124 152";"-141 368"
"4121 Städning beställning";"-15 913";"-10 750"
"4140 Besiktningskostnader";"-10 446";"-17 179"
"4150 Hiss serviceavtal";"-2 910";"0"
"4155 Övriga serviceavtal";"-10 035";"-24 147"
"4160 Trädgård och blommor";"-7 456";"-9 706"
"4170 Snöskottning och sandupptagning";"-22 502";"-8 038"
"4180 Klottersanering";"-4 369";"0"
"4185 Mattservice";"-12 900";"-8 650"
"4190 Övriga köpta tjänster";"-32 925";"-101 313"
"Summa Fastighetsskötsel och städ";"-519 234";"-571 684"
"REPARATIONER";"";""
"4300 Övriga rep./underhåll";"-1 484 766";"-151 216"
"4302 Försäkringsärende";"-236 065";"0"
"4331 Tvättstuga";"-61 884";"-17 341"
"4346 Hissar";"-7 795";"-68 797"
"4399 Temp. rep und eller projekt";"0";"12 500"
"Summa Reparationer";"-1 790 510";"-224 854"
"PLANERAT UNDERHÅLL";"";""
"4301 Planerade underhåll";"0";"269 657"
"4500 Övrigt plan. UH";"-3 700";"-28 251"
"Summa Planerat underhåll";"-3 700";"241 406"
"TAXEBUNDNA KOSTNADER";"";""
"4610 Elavgifter";"-245";"0"
"4611 Fastighetsel";"-354 827";"-392 849"
"4623 Fjärrvärme";"-545 202";"-607 131"
"4630 Vatten";"-127 628";"-117 449"
"4640 Sophämtning";"-75 194";"-65 080"
"4641 Grovsopor, tidningar";"-81 596";"-59 897"
"Summa Taxebundna kostnader";"-1 184 692";"-1 242 406"
"ÖVRIGA DRIFTSKOSTNADER";"";""
"4710 Fastighetsförsäkringar";"-114 571";"-127 109"
"4741 Tomträttsavgäld";"-878 300";"-878 300"
"4760 Kabel-TV";"-68 576";"-66 616"
"4761 Bredband";"-100 920";"-100 920"
"Summa Övriga driftskostnader";"-1 162 367";"-1 172 945"
"FASTIGHETSSKATT";"";""
"4800 Fastighetsskatt";"-453 545";"-399 002"
