Realtidsresultatrapport ;;
Kundnamn: Brf Strandparken Kungsholmen;;
Organisationsnummer: 716420-4682;;
;;
;2014-01-01 - 2014-12-31;2013-01-01 - 2013-12-31
RÖRELSEINTÄKTER;;
NETTOOMSÄTTNING;;
RÖRELSENS HUVUDINTÄKTER;;
3021 Årsavgifter bostäder;3 775 416;3 775 416
3052 Hyresintäkter lokaler;1 208 928;1 209 500
3054 Hyresintäkter garage;479 440;522 560
3055 Hyresintäkter garage, moms;362 000;308 187
Summa Rörelsens huvudintäkter;5 825 784;5 815 663
ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER;;
3218 Övriga intäkter;2 120;10 725
Summa Ersättningar och intäkter från hyresgäster;2 120;10 725
Summa nettoomsättning;5 827 904;5 826 388
ÖVRIGA RÖRELSEINTÄKTER;;
3740 Öres- och kronutjämning;2;0
Summa övriga rörelseintäkter;2;0
Summa Rörelseintäkter;5 827 906;5 826 388
RÖRELSEKOSTNADER;;
DRIFTKOSTNADER;;
FASTIGHETSSKÖTSEL OCH STÄD;;
4000 Fastskötsel,städ material;-22 716;-38 054
4020;-683;0
4110 Fastskötsel/teknisk förv arvode;-3 478;0
4120 Entrepkostn städ;-143 889;-111 807
4140 Besiktningskostnader;-2 223;-11 033
4141 Ventilationskontroll OVK;0;-111 725
4160 Trädgård och blommor;-28 962;-1 504
4170 Snöskottning och sandupptagning;-16 219;-31 744
4180 Klottersanering;-4 500;0
4185 Mattservice;-5 830;-6 628
4190 Övriga köpta tjänster;-37 443;-11 310
Summa Fastighetsskötsel och städ;-265 942;-323 805
REPARATIONER;;
4311 Bostäder;-3 125;0
4321 Lokaler;-12 783;-9 559
4331 Tvättstuga;-14 310;-6 200
4332 Trapphus/port/entré;-16 979;-12 123
4339 Övriga gemensamma utrymmen;-17 936;-19 511
4341 VA;-46 680;-43 751
4342 Värme;-31 443;-13 094
4343 Ventilation;-7 425;-7 504
4344 El;0;-18 679
4345 Kabel-tv/bredband;-21 713;-17 355
4346 Hissar;-148 754;-100 449
4351 Tak;-1 975;-8 898
4353 Fönster;-4 535;0
4354 Balkonger;0;-4 681
4380 Försäkringsärende/vattenskada;-249 834;9 036
Summa Reparationer;-577 491;-252 768
PLANERAT UNDERHÅLL;;
4301 Planerade underhåll;-51 567;-165 412
4510;0;96 375
Summa Planerat underhåll;-51 567;-69 037
TAXEBUNDNA KOSTNADER;;
4611 Fastighetsel;-209 348;-242 516
4623 Fjärrvärme;-520 065;-585 456
4630 Vatten;-84 301;-90 367
4640 Sophämtning;-43 636;-39 766
4641 Grovsopor, tidningar;-45 603;-43 675
4690 Övrigt;-10 512;-43 381
Summa Taxebundna kostnader;-913 465;-1 045 161
ÖVRIGA DRIFTSKOSTNADER;;
4710 Fastighetsförsäkringar;-50 778;-48 360
4741 Tomträttsavgäld;-438 000;-438 000
4760 Kabel-TV;-142 188;-140 941
Summa Övriga driftskostnader;-630 966;-627 301
FASTIGHETSSKATT;;
4800 Fastighetsskatt;-188 347;-295 813
Summa Fastighetsskatt;-188 347;-295 813
Summa driftkostnader;-2 627 778;-2 613 884
ÖVRIGA EXTERNA KOSTNADER;;
KONTORSMATERIEL;;
6100 Kontorsmtrl trycksaker;-1 458;0
Summa Kontorsmateriel;-1 458;0
TELE OCH POST;;
6210 Telekommunikation;-2 101;-2 140
6250 Postbefordran;0;-60
Summa Tele och post;-2 101;-2 200
FÖRVALTNINGSKOSTNADER;;
6420 Revisionsarvoden;-73 125;-38 250
6480 Arvode ekonomisk förvaltning;-174 400;-174 400
6482 Extradebitering förvaltn.;-22 227;-13 954
6490 Övr förvaltningskostnader;-11 674;-9 676
Summa Förvaltningskostnader;-281 426;-236 280
ÖVRIGA EXTERNA TJÄNSTER;;
6550 Konsultkostnader;-23 125;0
6570 Bankkostnader;-6 410;-3 888
6580 Advokat/rätteg kostn;-1 094;0
Summa Övriga externa tjänster;-30 629;-3 888
ÖVRIGA EXTERNA KOSTNADER;;
6980 Medlems- & föreningsavg;0;-3 200
6990 Övriga externa kostnader;-5 338;-7 070
Summa Övriga externa kostnader;-5 338;-10 270
Summa övriga externa kostnader;-320 952;-252 638
PERSONALKOSTNADER;;
ARVODEN;;
6410 Styrelsearvoden;-43 800;-80 300
6411 Övriga arvoden;-3 000;-3 000
Summa Arvoden;-46 800;-83 300
SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL;;
7510 Lagstadgade arb giv avg;-11 047;-17 793
Summa Sociala och andra avgifter enligt lag och avtal;-11 047;-17 793
Summa personalkostnader;-57 847;-101 093
Resultat före Avskrivningar;2 821 329;2 858 773
AVSKRIVNINGAR;;
7821 Avskrivn byggnader;-834 136;-329 176
7822 Avskrivning fast. förbätr;-5 623;-6 425
Summa avskrivningar;-839 759;-335 601
Summa Rörelsekostnader;-3 846 335;-3 303 216
Rörelseresultat;1 981 570;2 523 172
FINANSIELLA POSTER;;
RÄNTEINTÄKTER OCH LIKNANDE RESULTATPOSTER;;
8310 Räntein fr omstillg momsf;2 149;0
8311 Ränteint fr bank;0;6 966
8312 Ränteint fr kortfr placer;0;2 150
8314 Skattefria ränteintäkter;2;2
Summa ränteintäkter och liknande resultatposter;2 151;9 118
RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER;;
8410 Låneräntor;-1 327 451;-1 529 442
8422 Dröjsmålsränta;-5 048;-1 007
8423 Kostn.ränta, skatt;-89;1
Summa räntekostnader och liknande resultatposter;-1 332 588;-1 530 448
Resultat efter finansiella poster;651 133;1 001 842
SKATT;;
8910 Skatt;0;-19 398
Summa skatt;0;-19 398
Årets resultat;651 133;982 444
