Realtidsresultatrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"2013-01-01 - 2013-12-31";"2012-01-01 - 2012-12-31"
"RÖRELSEINTÄKTER";"";""
"NETTOOMSÄTTNING";"";""
"RÖRELSENS HUVUDINTÄKTER";"";""
"3021 Årsavgifter bostäder";"3 775 416";"1 258 472"
"3052 Hyresintäkter lokaler";"1 209 500";"401 996"
"3054 Hyresintäkter garage";"522 560";"172 800"
"3055 Hyresintäkter garage, moms";"308 187";"104 800"
"Summa Rörelsens huvudintäkter";"5 815 663";"1 938 068"
"ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER";"";""
"3218 Övriga intäkter";"10 725";"0"
"Summa Ersättningar och intäkter från hyresgäster";"10 725";"0"
"Summa nettoomsättning";"5 826 388";"1 938 068"
"Summa Rörelseintäkter";"5 826 388";"1 938 068"
"RÖRELSEKOSTNADER";"";""
"DRIFTKOSTNADER";"";""
"FASTIGHETSSKÖTSEL OCH STÄD";"";""
"4000 Fastskötsel,städ material";"-38 054";"-10 034"
"4120 Entrepkostn städ";"-111 807";"-24 657"
"4140 Besiktningskostnader";"-11 033";"-933"
"4141 Ventilationskontroll OVK";"-111 725";"0"
"4160 Trädgård och blommor";"-1 504";"0"
"4170 Snöskottning och sandupptagning";"-31 744";"-16 495"
"4185 Mattservice";"-6 628";"0"
"4190 Övriga köpta tjänster";"-11 310";"0"
"Summa Fastighetsskötsel och städ";"-323 805";"-52 119"
"REPARATIONER";"";""
"4321 Lokaler";"-9 559";"-10 610"
"4331 Tvättstuga";"-6 200";"-6 630"
"4332 Trapphus/port/entré";"-12 123";"-3 150"
"4339 Övriga gemensamma utrymmen";"-19 511";"-9 411"
"4341 VA";"-43 751";"-9 973"
"4342 Värme";"-13 094";"-2 031"
"4343 Ventilation";"-7 504";"-1 237"
"4344 El";"-18 679";"0"
"4345 Kabel-tv/bredband";"-17 355";"-2 913"
"4346 Hissar";"-100 449";"-23 480"
"4351 Tak";"-8 898";"0"
"4354 Balkonger";"-4 681";"0"
"4380 Försäkringsärende/vattenskada";"9 036";"-20 707"
"Summa Reparationer";"-252 768";"-90 142"
"PLANERAT UNDERHÅLL";"";""
"4301 Planerade underhåll";"-165 412";"-85 657"
"4510";"96 375";"-96 375"
"Summa Planerat underhåll";"-69 037";"-182 032"
"TAXEBUNDNA KOSTNADER";"";""
"4611 Fastighetsel";"-242 516";"-55 572"
"4623 Fjärrvärme";"-585 456";"-102 796"
"4630 Vatten";"-90 367";"-22 277"
"4640 Sophämtning";"-39 766";"-13 816"
"4641 Grovsopor, tidningar";"-43 675";"-11 813"
"4690 Övrigt";"-43 381";"-5 256"
"Summa Taxebundna kostnader";"-1 045 161";"-211 530"
"ÖVRIGA DRIFTSKOSTNADER";"";""
"4710 Fastighetsförsäkringar";"-48 360";"-14 789"
"4741 Tomträttsavgäld";"-438 000";"-146 000"
"4760 Kabel-TV";"-140 941";"-46 428"
"Summa Övriga driftskostnader";"-627 301";"-207 217"
"FASTIGHETSSKATT";"";""
"4800 Fastighetsskatt";"-295 813";"-69 414"
"Summa Fastighetsskatt";"-295 813";"-69 414"
"Summa driftkostnader";"-2 613 884";"-812 453"
"ÖVRIGA EXTERNA KOSTNADER";"";""
"TELE OCH POST";"";""
"6210 Telekommunikation";"-2 140";"-526"
"6250 Postbefordran";"-60";"0"
"Summa Tele och post";"-2 200";"-526"
"FÖRVALTNINGSKOSTNADER";"";""
"6420 Revisionsarvoden";"-38 250";"-22 750"
"6480 Arvode ekonomisk förvaltning";"-174 400";"-57 917"
"6482 Extradebitering förvaltn.";"-13 954";"-4 782"
"6490 Övr förvaltningskostnader";"-9 676";"0"
"Summa Förvaltningskostnader";"-236 280";"-85 449"
"ÖVRIGA EXTERNA TJÄNSTER";"";""
"6570 Bankkostnader";"-3 888";"-636"
"Summa Övriga externa tjänster";"-3 888";"-636"
"ÖVRIGA EXTERNA KOSTNADER";"";""
"6980 Medlems- & föreningsavg";"-3 200";"0"
"6990 Övriga externa kostnader";"-7 070";"-500"
"Summa Övriga externa kostnader";"-10 270";"-500"
"Summa övriga externa kostnader";"-252 638";"-87 111"
"PERSONALKOSTNADER";"";""
