Realtidsresultatrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"2016-01-01 - 2016-12-31";"2015-01-01 - 2015-12-31"
"RÖRELSEINTÄKTER";"";""
"NETTOOMSÄTTNING";"";""
"RÖRELSENS HUVUDINTÄKTER";"";""
"3021 Årsavgifter bostäder";"3 775 416";"3 775 416"
"3052 Hyresintäkter lokaler";"1 208 928";"1 208 928"
"3053 Hyresintäkter lokaler, moms";"1 200";"0"
"3054 Hyresintäkter garage";"460 800";"474 000"
"3055 Hyresintäkter garage, moms";"484 800";"395 800"
"3062 Hyresintäkter övr objekt";"9 850";"0"
"Summa Rörelsens huvudintäkter";"5 940 994";"5 854 144"
"ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER";"";""
"3218 Övriga intäkter";"0";"44 432"
"Summa Ersättningar och intäkter från hyresgäster";"0";"44 432"
"Summa nettoomsättning";"5 940 994";"5 898 576"
"ÖVRIGA RÖRELSEINTÄKTER";"";""
"3740 Öres- och kronutjämning";"-1";"1"
"3994 Ersättn.fr.försäkr.bolag";"0";"57 867"
"Summa övriga rörelseintäkter";"-1";"57 868"
"Summa Rörelseintäkter";"5 940 993";"5 956 444"
"RÖRELSEKOSTNADER";"";""
"DRIFTKOSTNADER";"";""
"FASTIGHETSSKÖTSEL OCH STÄD";"";""
"4000 Fastskötsel,städ material";"-33 766";"-18 436"
"4020";"0";"683"
"4120 Entrepkostn städ";"-123 886";"-126 541"
"4160 Trädgård och blommor";"0";"-2 558"
"4170 Snöskottning och sandupptagning";"-27 870";"-23 820"
"4180 Klottersanering";"0";"-2 375"
"4185 Mattservice";"-1 157";"-2 131"
"4190 Övriga köpta tjänster";"0";"-9 994"
"Summa Fastighetsskötsel och städ";"-186 679";"-185 172"
"REPARATIONER";"";""
"4310 Underhåll";"-111 065";"0"
"4311 Bostäder";"-20 111";"-20 510"
"4321 Lokaler";"-14 718";"0"
"4331 Tvättstuga";"-13 656";"-15 217"
"4332 Trapphus/port/entré";"-28 090";"-24 882"
"4339 Övriga gemensamma utrymmen";"-24 292";"-14 641"
"4341 VA";"-8 383";"-32 407"
"4342 Värme";"0";"-27 750"
"4343 Ventilation";"-33 901";"-2 779"
"4345 Kabel-tv/bredband";"-9 672";"0"
"4346 Hissar";"-188 442";"-252 483"
"4351 Tak";"-1 988";"-14 163"
"4352 Fasader";"-4 464";"0"
"4353 Fönster";"0";"-1 329"
"4361 Gård/markytor";"-894";"0"
"4380 Försäkringsärende/vattenskada";"-118 167";"-405 694"
"Summa Reparationer";"-577 843";"-811 855"
"PLANERAT UNDERHÅLL";"";""
"4301 Planerade underhåll";"-298 683";"-134 044"
"Summa Planerat underhåll";"-298 683";"-134 044"
"TAXEBUNDNA KOSTNADER";"";""
"4611 Fastighetsel";"-227 413";"-205 997"
"4623 Fjärrvärme";"-483 209";"-497 153"
"4630 Vatten";"-102 678";"-87 696"
"4640 Sophämtning";"-37 710";"-48 048"
"4641 Grovsopor, tidningar";"-46 681";"-51 107"
"4690 Övrigt";"-10 517";"-10 512"
"Summa Taxebundna kostnader";"-908 208";"-900 513"
"ÖVRIGA DRIFTSKOSTNADER";"";""
"4710 Fastighetsförsäkringar";"-92 376";"-53 317"
"4741 Tomträttsavgäld";"-612 383";"-463 033"
"4760 Kabel-TV";"-144 244";"-142 888"
"Summa Övriga driftskostnader";"-849 003";"-659 238"
"FASTIGHETSSKATT";"";""
"4800 Fastighetsskatt";"-235 122";"-214 636"
"4801 Beräknad fastighetsskatt";"-20 914";"0"
"Summa Fastighetsskatt";"-256 036";"-214 636"
"Summa driftkostnader";"-3 076 451";"-2 905 458"
"ÖVRIGA EXTERNA KOSTNADER";"";""
"FÖRBRUKNINGSINVENTARIER OCH FÖRBRUKNINGSMATERIAL";"";""
"5410 Förbrukningsinventarier";"0";"-23 164"
"Summa Förbrukningsinventarier och förbrukningsmaterial";"0";"-23 164"
"TELE OCH POST";"";""
"6210 Telekommunikation";"-5 096";"-5 281"
"Summa Tele och post";"-5 096";"-5 281"
"FÖRVALTNINGSKOSTNADER";"";""
"6420 Revisionsarvoden";"-37 750";"-37 500"
"6480 Arvode ekonomisk förvaltning";"-222 397";"-198 420"
"6482 Extradebitering förvaltn.";"-15 489";"-54 914"
"6490 Övr förvaltningskostnader";"-25 776";"-27 262"
"Summa Förvaltningskostnader";"-301 412";"-318 096"
"ÖVRIGA EXTERNA TJÄNSTER";"";""
"6550 Konsultkostnader";"0";"-28 501"
"6570 Bankkostnader";"-3 449";"-3 545"
"6580 Advokat/rätteg kostn";"-49 163";"-2 469"
"Summa Övriga externa tjänster";"-52 612";"-34 515"
"ÖVRIGA EXTERNA KOSTNADER";"";""
"6980 Medlems- & föreningsavg";"-5 800";"0"
"6990 Övriga externa kostnader";"-15 532";"-7 193"
"Summa Övriga externa kostnader";"-21 332";"-7 193"
"Summa övriga externa kostnader";"-380 452";"-388 249"
"PERSONALKOSTNADER";"";""
"ARVODEN";"";""
"6410 Styrelsearvoden";"-117 000";"-80 450"
"6411 Övriga arvoden";"-3 000";"-3 000"
"Summa Arvoden";"-120 000";"-83 450"
"SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL";"";""
"7510 Lagstadgade arb giv avg";"-32 988";"-26 054"
"Summa Sociala och andra avgifter enligt lag och avtal";"-32 988";"-26 054"
"Summa personalkostnader";"-152 988";"-109 504"
"Resultat före Avskrivningar";"2 331 102";"2 553 233"
"AVSKRIVNINGAR";"";""
"7821 Avskrivn byggnader";"-1 220 681";"-1 017 341"
"7822 Avskrivning fast. förbätr";"-4 819";"-4 077"
"Summa avskrivningar";"-1 225 500";"-1 021 418"
"Summa Rörelsekostnader";"-4 835 392";"-4 424 629"
"Rörelseresultat";"1 105 602";"1 531 815"
"FINANSIELLA POSTER";"";""
"RÄNTEINTÄKTER OCH LIKNANDE RESULTATPOSTER";"";""
"8314 Skattefria ränteintäkter";"108";"2"
"Summa ränteintäkter och liknande resultatposter";"108";"2"
"RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER";"";""
"8410 Låneräntor";"-858 181";"-1 080 201"
"8422 Dröjsmålsränta";"0";"-97"
"Summa räntekostnader och liknande resultatposter";"-858 181";"-1 080 298"
"Resultat efter finansiella poster";"247 529";"451 519"
"Årets resultat";"247 529";"451 519"
